12:44:57.362 [main] INFO  CloudInformationService - CloudInformationService0: Notify all CloudSim Plus entities to shutdown.

12:44:57.362 [main] INFO  CloudSim - 
================== Simulation finished at time 16.32 ==================

12:44:57.364 [main] INFO  java.lang.Class - Finished simulation of RoundRobin VM ALlocation Policy.  



12:44:57.364 [main] INFO  java.lang.Class - Start the simulations
12:44:57.365 [main] INFO  java.lang.Class - Starting execution of cloud models simulation.
12:44:57.365 [main] INFO  java.lang.Class - Parsing configurations from Saas.conf
12:44:57.368 [main] INFO  java.lang.Class - Configuration parsing completed from Saas.conf.
12:44:57.368 [main] INFO  java.lang.Class - Datacenter configuration are as:
12:44:57.368 [main] INFO  java.lang.Class - Number of hosts: 2
12:44:57.368 [main] INFO  java.lang.Class - Number of VMs: 1
12:44:57.368 [main] INFO  java.lang.Class - Number of cloudlets: 2
12:44:57.368 [main] INFO  java.lang.Class - Parsing configurations from Paas.conf
12:44:57.371 [main] INFO  java.lang.Class - Configuration parsing completed from Paas.conf.
12:44:57.371 [main] INFO  java.lang.Class - Datacenter configuration are as:
12:44:57.371 [main] INFO  java.lang.Class - Number of hosts: 2
12:44:57.371 [main] INFO  java.lang.Class - Number of VMs: 1
12:44:57.371 [main] INFO  java.lang.Class - Number of cloudlets: 2
12:44:57.371 [main] INFO  java.lang.Class - Parsing configurations from Iaas.conf
12:44:57.374 [main] INFO  java.lang.Class - Configuration parsing completed from Iaas.conf.
12:44:57.374 [main] INFO  java.lang.Class - Datacenter configuration are as:
12:44:57.374 [main] INFO  java.lang.Class - Number of hosts: 8
12:44:57.374 [main] INFO  java.lang.Class - Number of VMs: 1
12:44:57.374 [main] INFO  java.lang.Class - Number of cloudlets: 2
12:44:57.378 [main] INFO  BriteNetworkTopology - Topology file: /Users/raghuraman/IdeaProjects/CloudSimPlusDemo/topology.brite
12:44:57.378 [main] INFO  java.lang.Class - Initiating VMs
12:44:57.378 [main] INFO  java.lang.Class - Intiating cloudlets
12:44:57.378 [main] INFO  java.lang.Class - Submitting VMs and cloudlets to broker
12:44:57.378 [main] INFO  CloudSim - 
================== Starting CloudSim Plus 6.4.3 ==================

12:44:57.378 [main] INFO  DatacenterBroker - DatacenterBrokerSimple1 is starting...
12:44:57.379 [main] INFO  Datacenter - 0.00: DatacenterSimple2 is starting...
12:44:57.379 [main] INFO  Datacenter - 0.00: DatacenterSimple3 is starting...
12:44:57.379 [main] INFO  Datacenter - 0.00: DatacenterSimple4 is starting...
12:44:57.379 [main] INFO  CloudSim - Entities started.
12:44:57.379 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: List of 3 datacenters(s) received.
12:44:57.379 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 0 in DatacenterSimple2
12:44:57.379 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 1 in DatacenterSimple2
12:44:57.379 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 2 in DatacenterSimple2
12:44:57.379 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 0 has been allocated to Host 0/DC 2
12:44:57.379 [main] WARN  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: No suitable host found for Vm 1 in Datacenter 2
12:44:57.379 [main] WARN  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: No suitable host found for Vm 2 in Datacenter 2
12:44:57.380 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple1: Trying to create Vm 1 in DatacenterSimple3
12:44:57.380 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple1: Trying to create Vm 2 in DatacenterSimple3
12:44:57.380 [main] INFO  VmAllocationPolicy - 0.10: VmAllocationPolicySimple: Vm 1 has been allocated to Host 0/DC 3
12:44:57.380 [main] WARN  VmAllocationPolicy - 0.10: VmAllocationPolicySimple: No suitable host found for Vm 2 in Datacenter 3
12:44:57.380 [main] INFO  DatacenterBroker - 0.20: DatacenterBrokerSimple1: Trying to create Vm 2 in DatacenterSimple4
12:44:57.380 [main] INFO  VmAllocationPolicy - 0.20: VmAllocationPolicySimple: Vm 2 has been allocated to Host 0/DC 4
